some_id,name,alternative_names,latitude,longitude,iso_alpha_2,region_id,population
1687203,Sapu Padidu,"Sapu,Sapu Padidu,Sapu-Padido",5.91722,125.26694,PH,12,9789
1687302,Sapang,Sapang,15.7032,120.5245,PH,3,11373
1687409,San Vicente,"Caluis,Cobra,San Vicente",15.2921,120.65498,PH,3,16116
1687410,San Vicente,San Vicente,15.21324,120.81901,PH,3,6835
1687419,San Vicente,San Vicente,14.94594,120.74852,PH,3,6449
1687522,Santo Tomas,Santo Tomas,15.74977,120.96241,PH,3,5138
1687534,Santo Tomas,"Santa Tomas,Santo Tomas,Santo-Tomas,Санто-Томас",14.1079,121.14136,PH,40,57438
1687564,Santo Rosario,Santo Rosario,15.6447,120.8612,PH,3,6234
1687570,Santo Rosario,Santo Rosario,15.43425,120.88981,PH,3,6005
1687670,Santo Nino,"Santo Nino,Santo Niño",7.62361,125.62528,PH,11,9611
1687674,Santo Nino,,6.435,124.6975,PH,11,9662
1687687,Santol,,15.16222,120.5675,PH,3,298976
1687702,Santol,Santol,10.1725,122.9947,PH,NIR,6435
1687725,Santo Domingo,Santo Domingo,14.9912,120.74341,PH,3,5045
1687742,Santo Domingo,Santo Domingo,13.42,123.4486,PH,5,5031
1687753,Santo Cristo,Santo Cristo,15.29683,120.89025,PH,3,8664
1687801,Santiago,,16.68808,121.5487,PH,2,108414
1687812,Santiago,Santiago,14.90371,120.51134,PH,3,5971
1687888,Santa Rosa,Santa Rosa,15.4238,120.9378,PH,3,11683
1687894,Santa Rosa,"Kota Santa Rosa,Santa Rosa City,Santa Rosa Lakanbalen,Santa-Rosa,Санта-Роса",14.31222,121.11139,PH,40,216650
1687976,Santa Monica,"San Monica,Santa Monica",15.35771,120.72006,PH,3,5475
1688017,Santa Maria,Santa Maria,16.9518,120.4445,PH,1,28002
1688044,Santa Maria,Santa Maria,14.4719,121.4286,PH,40,6603
1688058,Santa Maria,"Basiauan,Basiawan,Santa Maria",6.55361,125.47083,PH,11,16758
1688090,Santa Lucia,Santa Lucia,15.36806,120.48643,PH,3,8642
1688115,Santa Justina,Santa Justina,13.3967,123.4731,PH,5,5712
1688136,Santa Ines West,"Santa Ines,Santa Ines West",15.55694,120.46448,PH,3,5821
1688145,Santa Ignacia,"Santa Ignacia,Stalgnacia",15.6169,120.4358,PH,3,11477
1688185,Santa Elena,Santa Elena,14.17023,122.38246,PH,5,14641
1688232,Santa Cruz,"Sant Cruz,Santa Cruz,Santa-Krus,Санта-Крус",15.7654,119.9092,PH,3,26429
1688248,Santa Cruz,Santa Cruz,14.9127,120.56659,PH,3,15408
1688253,Santa Cruz,"Santa Cruz,santa krwz  lagwna,سانتا کروز، لاگونا",14.2814,121.4161,PH,40,108145
1688271,Santa Cruz,"Santa Cruz,Santa-Krus,Санта-Крус",13.4758,122.0275,PH,41,9863
1688275,Santa Cruz,Santa Cruz,13.0736,120.7226,PH,41,9826
1688343,Santa Catalina Sur,Santa Catalina Sur,13.87384,121.43104,PH,40,6195
1688345,Santa Catalina Norte,Santa Catalina Norte,13.87083,121.3575,PH,40,5448
1688363,Santa Catalina,Santa Catalina,9.3337,122.8637,PH,NIR,26457
1688372,Santa Barbara,Santa Barbara,16.0009,120.4023,PH,1,15445
1688376,Santa Barbara,Santa Barbara,15.38494,120.79611,PH,3,6525
1688382,Santa Barbara,"Santa Barbara,Santa Bárbara",10.82306,122.53444,PH,6,8629
1688393,Santa Ana,"Santa Ana,Santa-Ana,Санта-Ана",18.46986,122.14775,PH,2,6315
1688398,Santa Ana,"San Joaquin,Santa Ana,Santa-Ana,Санта-Ана",15.0955,120.767,PH,3,47158
1688414,Santa Ana,Santa Ana,8.51667,124.78333,PH,10,5770
1688425,San Simon,San Simon,14.9996,120.7808,PH,3,29049
1688456,San Roque Dau First,"San Roque,San Roque Dau,San Roque Dau First,San Roque Dau Primero",14.97711,120.57688,PH,3,9621
1688697,San Policarpio,"San Policarpio,San Policarpo",12.0686,124.5695,PH,8,5616
1688749,San Pedro,San Pedro,14.3595,121.0473,PH,40,270216
1688776,San Pedro,San Pedro,10.8018,121.9499,PH,6,5026
1688789,Lloren,"Lloren,San - Paskual',San Pascual,Сан - Паскуаль",16.3331,120.4329,PH,1,5800
1688795,San Pascual,San Pascual,13.81045,121.022,PH,40,39395
