name,iso_code,latitude,longitude
"Ash Shamaliyah",SD-30,NULL,NULL
"Ash Sharqiyah",SD-31,NULL,NULL
"Bahr al Ghazal",SD-32,NULL,NULL
"Darfur",SD-33,13.4,24
"Kurdufan",SD-34,NULL,NULL
"Alvsborgs Lan",SE-01,56.437575,12.889097
"Blekinge Lan",SE-02,NULL,NULL
"Dalarnas Lan",SE-10,NULL,NULL
"Gavleborgs Lan",SE-03,NULL,NULL
"Goteborgs och Bohus Lan",SE-04,NULL,NULL
"Gotlands Lan",SE-05,NULL,NULL
"Hallands Lan",SE-06,NULL,NULL
"Jamtlands Lan",SE-07,NULL,NULL
"Jonkopings Lan",SE-08,NULL,NULL
"Kalmar Lan",SE-09,NULL,NULL
"Kristianstads Lan",SE-11,56.428945,13.117327
"Kronobergs Lan",SE-12,NULL,NULL
"Malmohus Lan",SE-13,55.60223,12.987279
"Norrbottens Lan",SE-14,NULL,NULL
"Orebro Lan",SE-15,NULL,NULL
"Ostergotlands Lan",SE-16,NULL,NULL
"Skane Lan",SE-27,NULL,NULL
"Skaraborgs Lan",SE-17,58.384175,13.436919
"Sodermanlands Lan",SE-18,NULL,NULL
"Stockholms Lan",SE-26,NULL,NULL
"Uppsala Lan",SE-21,NULL,NULL
"Varmlands Lan",SE-22,NULL,NULL
"Vasterbottens Lan",SE-23,NULL,NULL
"Vasternorrlands Lan",SE-24,NULL,NULL
"Vastmanlands Lan",SE-25,NULL,NULL
"Vastra Gotaland",SE-28,NULL,NULL
"Ascension",SH-01,-7.940109,-14.358208
"Saint Helena",SH-02,NULL,NULL
"Tristan da Cunha",SH-03,-37.113628,-12.283934
"Ajdovscina",SI-01,45.88885,13.903935
"Beltinci",SI-02,46.6068,16.2412
"Bled",SI-03,46.36831,14.11469
"Bohinj",SI-04,NULL,NULL
"Borovnica",SI-05,45.92261,14.36275
"Bovec",SI-06,46.33694,13.55172
"Brda",SI-07,45.44687,13.762882
"Brezice",SI-08,45.90252,15.59985
"Brezovica",SI-09,NULL,NULL
"Celje",SI-11,46.23955,15.2666
"Cerklje na Gorenjskem",SI-12,NULL,NULL
"Cerknica",SI-13,45.79722,14.36063
"Cerkno",SI-14,46.12619,13.98425
"Crensovci",SI-15,46.57548,16.28954
"Crna na Koroskem",SI-16,NULL,NULL
"Crnomelj",SI-17,45.57516,15.19419
"Divaca",SI-19,45.68291,13.96974
"Dobrepolje",SI-20,NULL,NULL
"Dobrova-Horjul-Polhov Gradec",SI-G4,46.05516,14.41665
"Dol pri Ljubljani",SI-22,NULL,NULL
"Domzale",SI-G7,46.13606,14.59767
"Dornava",SI-24,46.43526,15.95499
"Dravograd",SI-25,46.59028,15.02837
"Duplek",SI-26,46.51439,15.71835
"Gorenja Vas-Poljane",SI-27,46.10573,14.14394
"Gorisnica",SI-28,NULL,NULL
"Gornja Radgona",SI-29,46.67893,15.9888
"Gornji Grad",SI-30,46.29534,14.80781
"Gornji Petrovci",SI-31,NULL,NULL
"Grosuplje",SI-32,45.95653,14.66033
"Hrastnik",SI-34,46.14653,15.0845
"Hrpelje-Kozina",SI-35,45.60822,13.93432
"Idrija",SI-36,45.99968,14.01831
"Ig",SI-37,45.95857,14.52719
"Ilirska Bistrica",SI-38,45.57012,14.24184
"Ivancna Gorica",SI-39,NULL,NULL
"Izola-Isola",SI-40,NULL,NULL
"Jesenice",SI-H4,46.43431,14.07109
"Jursinci",SI-42,46.48496,15.97223
"Kamnik",SI-H6,45.95512,14.40879
"Kanal",SI-44,46.0853,13.6343
"Kidricevo",SI-45,NULL,NULL
"Kobarid",SI-46,46.245005,13.579075
"Kobilje",SI-47,NULL,NULL
"Kocevje",SI-H7,45.6431,14.8607
"Komen",SI-49,45.81752,13.7483
"Koper-Capodistria",SI-50,NULL,NULL
"Kozje",SI-51,46.07299,15.56108
"Kranj",SI-52,46.23668,14.355915
"Kranjska Gora",SI-53,46.4832,13.78589
"Krsko",SI-54,45.9563,15.49155
"Kungota",SI-55,NULL,NULL
"Kuzma",SI-I2,NULL,NULL
"Lasko",SI-57,46.15434,15.23581
"Lenart",SI-I3,46.57702,15.83262
"Litija",SI-I5,46.05942,14.82245
"Ljubljana",SI-61,46.05456,14.50443
"Ljubno",SI-62,46.34217,14.83341
"Ljutomer",SI-I6,46.51834,16.19556
"Logatec",SI-64,45.91217,14.22831
"Loska Dolina",SI-I7,45.62288,14.46245
"Loski Potok",SI-66,NULL,NULL
"Luce",SI-I9,46.353843,14.735691
"Lukovica",SI-68,46.167024,14.686032
"Majsperk",SI-J1,46.3515,15.735
"Maribor",SI-J2,46.549225,15.637075
"Medvode",SI-71,46.14444,14.41181
"Menges",SI-72,46.15864,14.56965
"Metlika",SI-73,45.64857,15.31298
"Mezica",SI-74,NULL,NULL
"Miren-Kostanjevica",SI-J5,45.89463,13.60842
"Mislinja",SI-76,46.44171,15.19576
"Moravce",SI-77,NULL,NULL
"Moravske Toplice",SI-78,46.69053,16.22297
"Mozirje",SI-79,46.34033,14.96121
"Murska Sobota",SI-80,46.662855,16.143385
"Muta",SI-81,46.60977,15.16304
"Naklo",SI-82,46.30009,14.297552
"Nazarje",SI-83,NULL,NULL
"Nova Gorica",SI-84,45.95578,13.655045
"Novo Mesto",SI-J7,45.80565,15.175815
"Odranci",SI-86,NULL,NULL
"Ormoz",SI-87,46.405859,16.153339
"Osilnica",SI-88,NULL,NULL
"Pesnica",SI-89,46.617744,15.673751
"Piran",SI-J9,45.52217,13.574225
"Pivka",SI-91,45.6829,14.1973
"Podcetrtek",SI-92,46.15655,15.59705
"Postojna",SI-94,45.791316,14.288754
"Preddvor",SI-K5,46.30168,14.42151
"Ptuj",SI-K7,46.42563,15.886445
"Puconci",SI-97,NULL,NULL
"Racam",SI-98,NULL,NULL
"Radece",SI-99,46.0667,15.18197
"Radenci",SI-A1,46.64041,16.04427
"Radlje ob Dravi",SI-A2,46.61434,15.22557
"Radovljica",SI-A3,46.34531,14.1713
"Ribnica",SI-L1,45.7407,14.7289
"Rogaska Slatina",SI-A7,46.232489,15.499192
"Rogasovci",SI-A6,NULL,NULL
"Rogatec",SI-A8,46.22594,15.70001
"Ruse",SI-L3,46.53986,15.50778
"Semic",SI-B1,45.65196,15.18209
"Sencur",SI-B2,46.24234,14.42114
"Sentilj",SI-B3,46.6748,15.65691
"Sentjernej",SI-B4,45.84353,15.33806
"Sentjur pri Celju",SI-L7,46.219165,15.396265
"Sevnica",SI-B6,46.01058,15.30682
"Sezana",SI-B7,45.708835,13.87134
"Skocjan",SI-B8,45.9065,15.29222
"Skofja Loka",SI-B9,46.167,14.315315
"Skofljica",SI-C1,45.98451,14.57416
"Slovenj Gradec",SI-C2,46.481447,15.031987
"Slovenska Bistrica",SI-L8,46.389915,15.569075
"Slovenske Konjice",SI-C4,46.33689,15.42299
"Smarje pri Jelsah",SI-C5,NULL,NULL
"Smartno ob Paki",SI-C6,46.3292,15.03216
"Sostanj",SI-C7,46.38086,15.04798
"Starse",SI-C8,NULL,NULL
"Store",SI-C9,NULL,NULL
"Sveti Jurij",SI-D1,NULL,NULL
"Tolmin",SI-D2,46.184098,13.734267
"Trbovlje",SI-D3,46.152185,15.045935
"Trebnje",SI-D4,45.90765,15.00592
"Trzic",SI-D5,46.367,14.30885
"Turnisce",SI-D6,46.62843,16.30905
"Velenje",SI-D7,46.362975,15.11395
"Velike Lasce",SI-D8,NULL,NULL
"Videm",SI-N2,46.576224,16.039306
"Vipava",SI-E1,45.845295,13.955126
"Vitanje",SI-E2,46.38106,15.29411
"Vodice",SI-E3,45.48419,14.0524
"Vojnik",SI-N3,46.29307,15.3024
"Vrhnika",SI-E5,45.9652,14.29766
"Vuzenica",SI-E6,46.59925,15.16423
"Zagorje ob Savi",SI-E7,46.135333,14.99566
"Zalec",SI-N5,46.25197,15.16514
"Zavrc",SI-E9,NULL,NULL
"Zelezniki",SI-F1,NULL,NULL
"Ziri",SI-F2,46.04701,14.10966
"Zrece",SI-F3,46.37523,15.38652
"Banska Bystrica",SK-01,NULL,NULL
"Bratislava",SK-02,NULL,NULL
"Kosice",SK-03,NULL,NULL
"Nitra",SK-04,NULL,NULL
"Presov",SK-05,NULL,NULL
"Trencin",SK-06,NULL,NULL
"Trnava",SK-07,NULL,NULL
"Zilina",SK-08,NULL,NULL
"Eastern",SL-01,8.208333,-10.941666
"Northern",SL-02,9.155364,-11.983333
"Southern",SL-03,7.725,-12.089071
"Western Area",SL-04,NULL,NULL
"Acquaviva",SM-01,43.944991,12.418439
"Borgo Maggiore",SM-06,43.943274,12.445957
"Chiesanuova",SM-02,43.904549,12.4204
"Domagnano",SM-03,43.952856,12.469444
"Faetano",SM-04,43.925494,12.498368
"Fiorentino",SM-05,43.911795,12.456732
"Monte Giardino",SM-08,41.730857,13.336183
"San Marino",SM-07,43.932156,12.448625
"Serravalle",SM-09,NULL,NULL
"Dakar",SN-01,NULL,NULL
"Diourbel",SN-03,NULL,NULL
"Fatick",SN-09,14.34066,-16.427
"Kaolack",SN-10,14.13996,-16.087395
"Kolda",SN-11,NULL,NULL
"Louga",SN-08,15.61494,-16.233534
"Saint-Louis",SN-04,NULL,NULL
"Tambacounda",SN-05,13.77234,-13.67311
"Thies",SN-07,NULL,NULL
"Ziguinchor",SN-12,NULL,NULL
"Bakool",SO-01,4.223603,43.683333
"Banaadir",SO-02,NULL,NULL
"Bari",SO-03,NULL,NULL
"Bay",SO-04,2.641667,43.5
"Galguduud",SO-05,4.891667,46.708333
"Gedo",SO-06,3.216667,42.016666
"Hiiraan",SO-07,4.361235,45.416667
"Jubbada Dhexe",SO-08,1.338283,42.158333
"Jubbada Hoose",SO-09,-0.170939,42
"Mudug",SO-10,6.241706,47.981551
"Nugaal",SO-11,NULL,NULL
"Sanaag",SO-12,10.266605,47.408333
"Shabeellaha Dhexe",SO-13,3.033333,46.066549
"Shabeellaha Hoose",SO-14,2,44.22205
"Togdheer",SO-15,9.120683,45.783333
"Woqooyi Galbeed",SO-16,NULL,NULL
"Brokopondo",SR-10,4.690863,-55.123655
"Commewijne",SR-11,5.744181,-54.891968
"Coronie",SR-12,5.637872,-56.242824
"Marowijne",SR-13,5.603088,-54.362373
"Nickerie",SR-14,NULL,NULL
"Para",SR-15,5.345529,-55.334812
"Paramaribo",SR-16,NULL,NULL
"Saramacca",SR-17,5.692437,-55.638452
"Sipaliwini",SR-18,3.683723,-56.032028
"Wanica",SR-19,5.7987,-55.218486
"Principe",ST-01,1.614602,7.405555
"Sao Tome",ST-02,0.20618,6.607102
"Ahuachapan",SV-01,NULL,NULL
"Cabanas",SV-02,NULL,NULL
"Chalatenango",SV-03,NULL,NULL
"Cuscatlan",SV-04,NULL,NULL
"La Libertad",SV-05,NULL,NULL
"La Paz",SV-06,NULL,NULL
"La Union",SV-07,NULL,NULL
"Morazan",SV-08,NULL,NULL
"San Miguel",SV-09,13.476998,-88.178441
"San Salvador",SV-10,NULL,NULL
"San Vicente",SV-12,13.641905,-88.78577
"Santa Ana",SV-11,NULL,NULL
"Sonsonate",SV-13,NULL,NULL
