name,iso_code,latitude,longitude
"Slough",GB-M1,NULL,NULL
"Solihull",GB-M2,NULL,NULL
"Somerset",GB-M3,NULL,NULL
"South Ayrshire",GB-W4,NULL,NULL
"South Glamorgan",GB-96,51.548506,-3.32428
"South Gloucestershire",GB-M6,NULL,NULL
"South Lanarkshire",GB-W5,NULL,NULL
"South Tyneside",GB-M7,NULL,NULL
"South Yorkshire",GB-37,NULL,NULL
"Southampton",GB-M4,NULL,NULL
"Southend-on-Sea",GB-M5,NULL,NULL
"Southwark",GB-M8,NULL,NULL
"St. Helens",GB-N1,NULL,NULL
"Staffordshire",GB-M9,NULL,NULL
"Stirling",GB-W6,NULL,NULL
"Stockport",GB-N2,NULL,NULL
"Stockton-on-Tees",GB-N3,NULL,NULL
"Stoke-on-Trent",GB-N4,NULL,NULL
"Strabane",GB-T4,NULL,NULL
"Strathclyde",GB-87,NULL,NULL
"Suffolk",GB-N5,NULL,NULL
"Sunderland",GB-N6,NULL,NULL
"Surrey",GB-N7,NULL,NULL
"Sutton",GB-N8,NULL,NULL
"Swansea",GB-Z1,NULL,NULL
"Swindon",GB-N9,NULL,NULL
"Tameside",GB-O1,NULL,NULL
"Tayside",GB-88,55.87392,-3.989278
"Telford and Wrekin",GB-O2,NULL,NULL
"Thurrock",GB-O3,NULL,NULL
"Torbay",GB-O4,NULL,NULL
"Torfaen",GB-Z2,NULL,NULL
"Tower Hamlets",GB-O5,NULL,NULL
"Trafford",GB-O6,NULL,NULL
"Tyne and Wear",GB-41,55.053928,-2.017697
"Vale of Glamorgan, The",GB-Z3,NULL,NULL
"Wakefield",GB-O7,NULL,NULL
"Walsall",GB-O8,NULL,NULL
"Waltham Forest",GB-O9,NULL,NULL
"Wandsworth",GB-P1,NULL,NULL
"Warrington",GB-P2,NULL,NULL
"Warwickshire",GB-P3,NULL,NULL
"West Berkshire",GB-P4,NULL,NULL
"West Dunbartonshire",GB-W7,NULL,NULL
"West Glamorgan",GB-97,51.801831,-3.810818
"West Lothian",GB-W9,NULL,NULL
"West Midlands",GB-43,NULL,NULL
"West Sussex",GB-P6,NULL,NULL
"West Yorkshire",GB-45,NULL,NULL
"Westminster",GB-P5,NULL,NULL
"Wigan",GB-P7,NULL,NULL
"Wiltshire",GB-P8,NULL,NULL
"Windsor and Maidenhead",GB-P9,NULL,NULL
"Wirral",GB-Q1,NULL,NULL
"Wokingham",GB-Q2,NULL,NULL
"Wolverhampton",GB-Q3,NULL,NULL
"Worcestershire",GB-Q4,NULL,NULL
"Wrexham",GB-Z4,NULL,NULL
"York",GB-Q5,NULL,NULL
"Saint Andrew",GD-01,NULL,NULL
"Saint David",GD-02,12.04876,-61.664089
"Saint George",GD-03,NULL,NULL
"Saint John",GD-04,NULL,NULL
"Saint Mark",GD-05,12.19327,-61.696461
"Saint Patrick",GD-06,NULL,NULL
"Abashis Raioni",GE-01,NULL,NULL
"Abkhazia",GE-02,NULL,NULL
"Adigenis Raioni",GE-03,NULL,NULL
"Ajaria",GE-04,NULL,NULL
"Akhalgoris Raioni",GE-05,NULL,NULL
"Akhalk'alak'is Raioni",GE-06,NULL,NULL
"Akhalts'ikhis Raioni",GE-07,NULL,NULL
"Akhmetis Raioni",GE-08,NULL,NULL
"Ambrolauris Raioni",GE-09,NULL,NULL
"Aspindzis Raioni",GE-10,NULL,NULL
"Baghdat'is Raioni",GE-11,NULL,NULL
"Bolnisis Raioni",GE-12,NULL,NULL
"Borjomis Raioni",GE-13,NULL,NULL
"Ch'khorotsqus Raioni",GE-15,NULL,NULL
"Ch'okhatauris Raioni",GE-16,NULL,NULL
"Chiat'ura",GE-14,NULL,NULL
"Dedop'listsqaros Raioni",GE-17,NULL,NULL
"Dmanisis Raioni",GE-18,NULL,NULL
"Dushet'is Raioni",GE-19,NULL,NULL
"Gardabanis Raioni",GE-20,NULL,NULL
"Gori",GE-21,41.981361,44.109539
"Goris Raioni",GE-22,NULL,NULL
"Gurjaanis Raioni",GE-23,NULL,NULL
"Javis Raioni",GE-24,NULL,NULL
"K'arelis Raioni",GE-25,NULL,NULL
"K'ut'aisi",GE-31,NULL,NULL
"Kaspis Raioni",GE-26,NULL,NULL
"Kharagaulis Raioni",GE-27,NULL,NULL
"Khashuris Raioni",GE-28,NULL,NULL
"Khobis Raioni",GE-29,NULL,NULL
"Khonis Raioni",GE-30,NULL,NULL
"Lagodekhis Raioni",GE-32,NULL,NULL
"Lanch'khut'is Raioni",GE-33,NULL,NULL
"Lentekhis Raioni",GE-34,NULL,NULL
"Marneulis Raioni",GE-35,NULL,NULL
"Martvilis Raioni",GE-36,NULL,NULL
"Mestiis Raioni",GE-37,NULL,NULL
"Mts'khet'is Raioni",GE-38,NULL,NULL
"Ninotsmindis Raioni",GE-39,NULL,NULL
"Onis Raioni",GE-40,NULL,NULL
"Ozurget'is Raioni",GE-41,NULL,NULL
"P'ot'i",GE-42,NULL,NULL
"Qazbegis Raioni",GE-43,NULL,NULL
"Qvarlis Raioni",GE-44,NULL,NULL
"Rust'avi",GE-45,NULL,NULL
"Sach'kheris Raioni",GE-46,NULL,NULL
"Sagarejos Raioni",GE-47,NULL,NULL
"Samtrediis Raioni",GE-48,NULL,NULL
"Senakis Raioni",GE-49,NULL,NULL
"Sighnaghis Raioni",GE-50,NULL,NULL
"T'bilisi",GE-51,41.709981,44.792998
"T'elavis Raioni",GE-52,NULL,NULL
"T'erjolis Raioni",GE-53,NULL,NULL
"T'et'ritsqaros Raioni",GE-54,NULL,NULL
"T'ianet'is Raioni",GE-55,NULL,NULL
"Tqibuli",GE-56,NULL,NULL
"Ts'ageris Raioni",GE-57,NULL,NULL
"Tsalenjikhis Raioni",GE-58,NULL,NULL
"Tsalkis Raioni",GE-59,NULL,NULL
"Tsqaltubo",GE-60,NULL,NULL
"Vanis Raioni",GE-61,NULL,NULL
"Zestap'onis Raioni",GE-62,NULL,NULL
"Zugdidi",GE-63,42.502129,41.86095
"Zugdidis Raioni",GE-64,NULL,NULL
"Ashanti",GH-02,NULL,NULL
"Brong-Ahafo",GH-03,NULL,NULL
"Central",GH-04,NULL,NULL
"Eastern",GH-05,6.443033,-0.458333
"Greater Accra",GH-01,NULL,NULL
"Northern",GH-06,NULL,NULL
"Upper East",GH-10,10.733333,-0.753362
"Upper West",GH-11,NULL,NULL
"Volta",GH-08,NULL,NULL
"Western",GH-09,NULL,NULL
"Nordgronland",GL-01,NULL,NULL
"Ostgronland",GL-02,NULL,NULL
"Vestgronland",GL-03,NULL,NULL
"Banjul",GM-01,NULL,NULL
"Lower River",GM-02,13.4,-15.691666
"MacCarthy Island",GM-03,NULL,NULL
"North Bank",GM-07,13.463586,-15.933333
"Upper River",GM-04,13.384087,-14.166666
"Western",GM-05,NULL,NULL
"Beyla",GN-01,8.708333,-8.325438
"Boffa",GN-02,10.297138,-14.117445
"Boke",GN-03,11.057385,-14.408333
"Conakry",GN-04,NULL,NULL
"Coyah",GN-30,9.991666,-13.509133
"Dabola",GN-05,10.620505,-10.9208
"Dalaba",GN-06,11.82565,-12.549234
"Dinguiraye",GN-07,11.627974,-10.691666
"Dubreka",GN-31,9.77487,-13.48532
"Faranah",GN-09,9.85,-10.79884
"Forecariah",GN-10,9.393325,-13.041667
"Fria",GN-11,11.911633,-12.663922
"Gaoual",GN-12,11.741666,-13.358333
"Gueckedou",GN-13,8.691579,-10.200025
"Kankan",GN-32,10.6375,-9.78145
"Kerouane",GN-15,11.426489,-9.596666
"Kindia",GN-16,10.35795,-13.60195
"Kissidougou",GN-17,9.266667,-9.858333
"Koubia",GN-33,12.175571,-12.286126
"Koundara",GN-18,12.358333,-13.159111
"Kouroussa",GN-19,10.533333,-10.068091
"Labe",GN-34,11.497561,-12.825444
"Lelouma",GN-35,11.458334,-12.741666
"Lola",GN-36,7.908334,-8.325
"Macenta",GN-21,8.378457,-9.383333
"Mali",GN-22,12.071596,-12.100296
"Mamou",GN-23,10.149622,-11.955389
"Mandiana",GN-37,10.686393,-8.658333
"Nzerekore",GN-38,8.4547,-9.18
"Pita",GN-25,11.398633,-10.8042
"Siguiri",GN-39,11.662141,-9.314431
"Telimele",GN-27,10.8538,-13.482125
"Tougue",GN-28,11.508334,-11.6
"Yomou",GN-29,10.6723,-12.273633
"Annobon",GQ-03,NULL,NULL
"Bioko Norte",GQ-04,NULL,NULL
"Bioko Sur",GQ-05,3.441717,8.696038
"Centro Sur",GQ-06,1.591667,10.475
"Kie-Ntem",GQ-07,1.958334,10.875
"Litoral",GQ-08,NULL,NULL
"Wele-Nzas",GQ-09,1.478656,10.95
"Aitolia kai Akarnania",GR-31,NULL,NULL
"Akhaia",GR-38,NULL,NULL
"Argolis",GR-36,NULL,NULL
"Arkadhia",GR-41,NULL,NULL
"Arta",GR-20,39.257078,21.131045
"Attiki",GR-35,NULL,NULL
"Dhodhekanisos",GR-47,NULL,NULL
"Drama",GR-04,41.271417,24.158333
"Evritania",GR-30,NULL,NULL
"Evros",GR-01,41.030616,26.05834
"Evvoia",GR-34,38.512075,23.713319
"Florina",GR-08,40.740591,21.424662
"Fokis",GR-32,NULL,NULL
"Fthiotis",GR-29,38.956575,22.956264
"Grevena",GR-10,40.05029,21.412603
"Ilia",GR-39,NULL,NULL
"Imathia",GR-12,NULL,NULL
"Ioannina",GR-17,39.655955,20.834226
"Iraklion",GR-45,NULL,NULL
"Kardhitsa",GR-23,NULL,NULL
"Kastoria",GR-09,40.466667,21.139247
"Kavala",GR-14,40.895889,24.360599
"Kefallinia",GR-27,38.277131,20.580682
"Kerkira",GR-25,NULL,NULL
"Khalkidhiki",GR-15,40.508111,23.664907
"Khania",GR-43,NULL,NULL
"Khios",GR-50,38.373409,26.139219
"Kikladhes",GR-49,NULL,NULL
"Kilkis",GR-06,41.033333,22.763585
"Korinthia",GR-37,NULL,NULL
"Kozani",GR-11,NULL,NULL
"Lakonia",GR-42,36.902534,22.688189
"Larisa",GR-21,39.645269,22.350711
"Lasithi",GR-46,35.185535,25.88944
"Lesvos",GR-51,39.510497,25.810257
"Levkas",GR-26,38.910519,21.998131
"Magnisia",GR-24,39.298579,23.134485
"Messinia",GR-40,NULL,NULL
"Pella",GR-07,40.89761,22.189165
"Pieria",GR-16,NULL,NULL
"Preveza",GR-19,39.153955,20.69682
"Rethimni",GR-44,NULL,NULL
"Rodhopi",GR-02,NULL,NULL
"Samos",GR-48,37.661529,26.502899
"Serrai",GR-05,41.093391,23.56204
"Thesprotia",GR-18,NULL,NULL
"Thessaloniki",GR-13,NULL,NULL
"Trikala",GR-22,39.63895,21.708649
"Voiotia",GR-33,38.375765,23.079725
"Xanthi",GR-03,41.1484,24.850591
"Zakinthos",GR-28,37.782879,20.897779
"Alta Verapaz",GT-01,15.596932,-90.114359
"Baja Verapaz",GT-02,NULL,NULL
"Chimaltenango",GT-03,NULL,NULL
"Chiquimula",GT-04,NULL,NULL
"El Progreso",GT-05,NULL,NULL
"Escuintla",GT-06,14.191499,-91.059039
"Guatemala",GT-07,NULL,NULL
"Huehuetenango",GT-08,NULL,NULL
"Izabal",GT-09,NULL,NULL
"Jalapa",GT-10,NULL,NULL
"Jutiapa",GT-11,14.149869,-89.89818
"Peten",GT-12,NULL,NULL
"Quetzaltenango",GT-13,NULL,NULL
"Quiche",GT-14,NULL,NULL
"Retalhuleu",GT-15,14.453467,-91.841876
"Sacatepequez",GT-16,NULL,NULL
"San Marcos",GT-17,NULL,NULL
"Santa Rosa",GT-18,NULL,NULL
"Solola",GT-19,14.709968,-91.289426
"Suchitepequez",GT-20,14.376171,-91.440007
"Totonicapan",GT-21,15.038409,-91.365361
"Zacapa",GT-22,NULL,NULL
"Bafata",GW-01,12.166445,-14.684685
"Biombo",GW-12,11.88055,-15.79065
"Bissau",GW-11,NULL,NULL
"Bolama",GW-05,11.588865,-15.468925
"Cacheu",GW-06,12.26849,-16.165205
"Gabu",GW-10,12.12055,-14.0982
"Oio",GW-04,12.28655,-15.2986
"Quinara",GW-02,11.5737,-15.3887
"Tombali",GW-07,11.300838,-15.409939
"Barima-Waini",GY-10,7.769285,-59.748726
"Cuyuni-Mazaruni",GY-11,6.196833,-59.979461
"Demerara-Mahaica",GY-12,NULL,NULL
"East Berbice-Corentyne",GY-13,3.888603,-57.499504
"Essequibo Islands-West Demerara",GY-14,6.614159,-58.500341
"Mahaica-Berbice",GY-15,6.278418,-57.828646
"Pomeroon-Supenaam",GY-16,NULL,NULL
"Potaro-Siparuni",GY-17,4.861596,-59.218071
"Upper Demerara-Berbice",GY-18,NULL,NULL
"Upper Takutu-Upper Essequibo",GY-19,NULL,NULL
"Atlantida",HN-01,NULL,NULL
"Choluteca",HN-02,NULL,NULL
"Colon",HN-03,15.548755,-85.728193
"Comayagua",HN-04,14.551193,-87.648525
"Copan",HN-05,NULL,NULL
"Cortes",HN-06,NULL,NULL
"El Paraiso",HN-07,13.961111,-86.397265
"Francisco Morazan",HN-08,NULL,NULL
"Gracias a Dios",HN-09,15.297685,-84.074761
"Intibuca",HN-10,14.254961,-88.179536
"Islas de la Bahia",HN-11,NULL,NULL
"La Paz",HN-12,14.127596,-87.913945
"Lempira",HN-13,14.454659,-88.648798
"Ocotepeque",HN-14,14.475017,-89.035606
"Olancho",HN-15,14.820052,-85.995711
"Santa Barbara",HN-16,NULL,NULL
"Valle",HN-17,13.549931,-87.580012
"Yoro",HN-18,NULL,NULL
"Bjelovarsko-Bilogorska",HR-01,NULL,NULL
"Brodsko-Posavska",HR-02,NULL,NULL
"Dubrovacko-Neretvanska",HR-03,NULL,NULL
"Grad Zagreb",HR-21,NULL,NULL
"Istarska",HR-04,NULL,NULL
"Karlovacka",HR-05,NULL,NULL
"Koprivnicko-Krizevacka",HR-06,NULL,NULL
"Krapinsko-Zagorska",HR-07,NULL,NULL
"Licko-Senjska",HR-08,NULL,NULL
"Medimurska",HR-09,NULL,NULL
"Osjecko-Baranjska",HR-10,NULL,NULL
"Pozesko-Slavonska",HR-11,NULL,NULL
"Primorsko-Goranska",HR-12,NULL,NULL
"Sibensko-Kninska",HR-13,NULL,NULL
"Sisacko-Moslavacka",HR-14,NULL,NULL
"Splitsko-Dalmatinska",HR-15,NULL,NULL
"Varazdinska",HR-16,NULL,NULL
"Viroviticko-Podravska",HR-17,NULL,NULL
"Vukovarsko-Srijemska",HR-18,NULL,NULL
"Zadarska",HR-19,NULL,NULL
"Zagrebacka",HR-20,NULL,NULL
"Artibonite",HT-06,19.338183,-72.631967
"Centre",HT-07,19.008885,-72.025
"Grand' Anse",HT-08,18.512105,-73.769989
"Nord",HT-09,19.5753,-72.333333
"Nord-Est",HT-10,19.508756,-71.895558
"Nord-Ouest",HT-03,19.852331,-73.046462
"Ouest",HT-11,NULL,NULL
"Sud",HT-12,18.227232,-73.696853
"Sud-Est",HT-13,18.258334,-72.436863
"Bacs-Kiskun",HU-01,NULL,NULL
"Baranya",HU-02,NULL,NULL
"Bekes",HU-03,NULL,NULL
"Bekescsaba",HU-26,46.684216,21.086753
"Borsod-Abauj-Zemplen",HU-04,NULL,NULL
"Budapest",HU-05,NULL,NULL
"Csongrad",HU-06,NULL,NULL
"Debrecen",HU-07,NULL,NULL
"Dunaujvaros",HU-27,46.980668,18.912706
"Eger",HU-28,47.903198,20.373107
"Fejer",HU-08,NULL,NULL
"Gyor",HU-25,NULL,NULL
"Gyor-Moson-Sopron",HU-09,NULL,NULL
"Hajdu-Bihar",HU-10,NULL,NULL
"Heves",HU-11,NULL,NULL
"Hodmezovasarhely",HU-29,46.430411,20.318829
"Jasz-Nagykun-Szolnok",HU-20,NULL,NULL
"Kaposvar",HU-30,46.36653,17.782483
"Kecskemet",HU-31,46.9062,19.689988
"Komarom-Esztergom",HU-12,NULL,NULL
