name,iso_code,latitude,longitude
"Aracinovo",MK-01,NULL,NULL
"Bac",MK-02,NULL,NULL
"Belcista",MK-03,NULL,NULL
"Berovo",MK-04,41.711871,22.864028
"Bistrica",MK-05,NULL,NULL
"Bitola",MK-06,NULL,NULL
"Blatec",MK-07,41.839661,22.593161
"Bogdanci",MK-08,NULL,NULL
"Bogomila",MK-09,41.59623,21.48348
"Bogovinje",MK-10,NULL,NULL
"Bosilovo",MK-11,NULL,NULL
"Brvenica",MK-12,NULL,NULL
"Cair",MK-13,NULL,NULL
"Capari",MK-14,41.05,21.183333
"Caska",MK-15,NULL,NULL
"Cegrane",MK-16,41.844662,20.99925
"Centar",MK-17,NULL,NULL
"Centar Zupa",MK-18,NULL,NULL
"Cesinovo",MK-19,NULL,NULL
"Cucer-Sandevo",MK-20,NULL,NULL
"Debar",MK-21,41.525927,20.536737
"Delcevo",MK-22,NULL,NULL
"Delogozdi",MK-23,NULL,NULL
"Demir Hisar",MK-24,NULL,NULL
"Demir Kapija",MK-25,41.424385,22.267475
"Dobrusevo",MK-26,NULL,NULL
"Dolna Banjica",MK-27,NULL,NULL
"Dolneni",MK-28,41.428208,21.454711
"Dorce Petrov",MK-29,NULL,NULL
"Drugovo",MK-30,41.487342,20.933831
"Dzepciste",MK-31,NULL,NULL
"Gazi Baba",MK-32,NULL,NULL
"Gevgelija",MK-33,NULL,NULL
"Gostivar",MK-34,NULL,NULL
"Gradsko",MK-35,NULL,NULL
"Ilinden",MK-36,NULL,NULL
"Izvor",MK-37,41.563822,21.685935
"Jegunovce",MK-38,NULL,NULL
"Kamenjane",MK-39,NULL,NULL
"Karbinci",MK-40,NULL,NULL
"Karpos",MK-41,NULL,NULL
"Kavadarci",MK-42,NULL,NULL
"Kicevo",MK-43,NULL,NULL
"Kisela Voda",MK-44,NULL,NULL
"Klecevce",MK-45,NULL,NULL
"Kocani",MK-46,NULL,NULL
"Konce",MK-47,NULL,NULL
"Kondovo",MK-48,NULL,NULL
"Konopiste",MK-49,NULL,NULL
"Kosel",MK-50,NULL,NULL
"Kratovo",MK-51,42.077669,22.188454
"Kriva Palanka",MK-52,42.198016,22.333701
"Krivogastani",MK-53,41.3482,21.34119
"Krusevo",MK-54,41.378222,21.249313
"Kuklis",MK-55,NULL,NULL
"Kukurecani",MK-56,NULL,NULL
"Kumanovo",MK-57,NULL,NULL
"Labunista",MK-58,NULL,NULL
"Lipkovo",MK-59,42.147407,21.589199
"Lozovo",MK-60,NULL,NULL
"Lukovo",MK-61,NULL,NULL
"Makedonska Kamenica",MK-62,NULL,NULL
"Makedonski Brod",MK-63,NULL,NULL
"Mavrovi Anovi",MK-64,NULL,NULL
"Meseista",MK-65,41.243191,20.78484
"Miravci",MK-66,41.303411,22.431497
"Mogila",MK-67,41.111762,21.393068
"Murtino",MK-68,41.419395,22.706132
"Negotino",MK-69,NULL,NULL
"Negotino-Polosko",MK-70,NULL,NULL
"Novaci",MK-71,41.04707,21.469955
"Novo Selo",MK-72,41.418178,22.87933
"Oblesevo",MK-73,41.89201,22.334049
"Ohrid",MK-74,NULL,NULL
"Orasac",MK-75,NULL,NULL
"Orizari",MK-76,41.925785,22.436979
"Oslomej",MK-77,NULL,NULL
"Pehcevo",MK-78,41.768509,22.901895
"Petrovec",MK-79,NULL,NULL
"Plasnica",MK-80,41.462608,21.138651
"Podares",MK-81,NULL,NULL
"Prilep",MK-82,NULL,NULL
"Probistip",MK-83,NULL,NULL
"Radovis",MK-84,NULL,NULL
"Rankovce",MK-85,42.181734,22.120188
"Resen",MK-86,NULL,NULL
"Rosoman",MK-87,NULL,NULL
"Rostusa",MK-88,NULL,NULL
"Samokov",MK-89,NULL,NULL
"Saraj",MK-90,NULL,NULL
"Sipkovica",MK-91,NULL,NULL
"Sopiste",MK-92,NULL,NULL
"Sopotnica",MK-93,41.298389,21.16424
"Srbinovo",MK-94,NULL,NULL
"Star Dojran",MK-96,NULL,NULL
"Staravina",MK-95,41.090305,21.760409
"Staro Nagoricane",MK-97,NULL,NULL
"Stip",MK-98,NULL,NULL
"Struga",MK-99,NULL,NULL
"Strumica",MK-A1,NULL,NULL
"Studenicani",MK-A2,NULL,NULL
"Suto Orizari",MK-A3,NULL,NULL
"Sveti Nikole",MK-A4,NULL,NULL
"Tearce",MK-A5,42.108794,21.046225
"Tetovo",MK-A6,NULL,NULL
